id,favorite_count,retweet_count,created_at
712311050943639552,1,1,Tue Mar 22 16:12:43 +0000 2016
712389846094848000,7,1,Tue Mar 22 21:25:49 +0000 2016
712312772642545664,1,1,Tue Mar 22 16:19:33 +0000 2016
712341714996842497,0,0,Tue Mar 22 18:14:34 +0000 2016
712315374474125314,3,0,Tue Mar 22 16:29:54 +0000 2016
712316704643100672,6,3,Tue Mar 22 16:35:11 +0000 2016
712321110327439360,3,1,Tue Mar 22 16:52:41 +0000 2016
712310524608794624,0,0,Tue Mar 22 16:10:37 +0000 2016
712313558395006976,0,2,Tue Mar 22 16:22:41 +0000 2016
712313625189294080,3,6,Tue Mar 22 16:22:57 +0000 2016
712310910757396480,4,0,Tue Mar 22 16:12:09 +0000 2016
712312495034118144,0,0,Tue Mar 22 16:18:27 +0000 2016
712310602610290690,0,0,Tue Mar 22 16:10:56 +0000 2016
712312768062312448,1,0,Tue Mar 22 16:19:32 +0000 2016
712340049291911168,4,0,Tue Mar 22 18:07:57 +0000 2016
712318958783758336,3,1,Tue Mar 22 16:44:08 +0000 2016
712322075524866048,0,0,Tue Mar 22 16:56:31 +0000 2016
712399365038432256,6,0,Tue Mar 22 22:03:39 +0000 2016
712316606940975105,0,0,Tue Mar 22 16:34:47 +0000 2016
712411847601758208,3,0,Tue Mar 22 22:53:15 +0000 2016
712318121160212480,0,0,Tue Mar 22 16:40:48 +0000 2016
712390041159356417,2,0,Tue Mar 22 21:26:36 +0000 2016
712318101560242176,0,0,Tue Mar 22 16:40:44 +0000 2016
712313501012746240,1,1,Tue Mar 22 16:22:27 +0000 2016
712388605348450306,1,0,Tue Mar 22 21:20:53 +0000 2016
712313745762979841,1,2,Tue Mar 22 16:23:25 +0000 2016
712325169490976768,8,3,Tue Mar 22 17:08:49 +0000 2016
712314299901878272,0,0,Tue Mar 22 16:25:37 +0000 2016
712395879735369729,3,0,Tue Mar 22 21:49:48 +0000 2016
712311488594116611,0,0,Tue Mar 22 16:14:27 +0000 2016
712310642447753217,1,1,Tue Mar 22 16:11:05 +0000 2016
712404390024388609,1,0,Tue Mar 22 22:23:37 +0000 2016
712316469053231105,0,0,Tue Mar 22 16:34:15 +0000 2016
712390183321083904,0,0,Tue Mar 22 21:27:09 +0000 2016
712404886298624000,3,0,Tue Mar 22 22:25:35 +0000 2016
712400298745077760,4,0,Tue Mar 22 22:07:21 +0000 2016
712387778462355456,8,0,Tue Mar 22 21:17:36 +0000 2016
712418815003365376,2,0,Tue Mar 22 23:20:56 +0000 2016
712329774857736193,0,0,Tue Mar 22 17:27:07 +0000 2016
712314242339241984,0,0,Tue Mar 22 16:25:24 +0000 2016
712415472986095616,2,0,Tue Mar 22 23:07:39 +0000 2016
712317964863672320,0,0,Tue Mar 22 16:40:11 +0000 2016
712333803608367105,0,0,Tue Mar 22 17:43:07 +0000 2016
712418927708471297,12,2,Tue Mar 22 23:21:23 +0000 2016
712323909270392832,0,1,Tue Mar 22 17:03:48 +0000 2016
712312479573934080,1,1,Tue Mar 22 16:18:23 +0000 2016
712411316346953728,1,0,Tue Mar 22 22:51:08 +0000 2016
712319807215894528,3,0,Tue Mar 22 16:47:30 +0000 2016
712325016046608388,1,0,Tue Mar 22 17:08:12 +0000 2016
712311344922361856,0,1,Tue Mar 22 16:13:53 +0000 2016
712496736845955072,2,1,Wed Mar 23 04:30:34 +0000 2016
712505363854073857,2,0,Wed Mar 23 05:04:51 +0000 2016
712672313125109760,1,1,Wed Mar 23 16:08:14 +0000 2016
712673048529219584,3,2,Wed Mar 23 16:11:10 +0000 2016
712677950680748034,4,1,Wed Mar 23 16:30:39 +0000 2016
712679212314808324,0,1,Wed Mar 23 16:35:39 +0000 2016
712674142571499520,7,2,Wed Mar 23 16:15:31 +0000 2016
712425370671144960,1,0,Tue Mar 22 23:46:59 +0000 2016
712676235936010241,1,0,Wed Mar 23 16:23:50 +0000 2016
712681527897796609,2,1,Wed Mar 23 16:44:51 +0000 2016
712672193683927040,4,0,Wed Mar 23 16:07:46 +0000 2016
712674663982235648,0,1,Wed Mar 23 16:17:35 +0000 2016
712663305668534272,0,0,Wed Mar 23 15:32:27 +0000 2016
712649260014153730,0,0,Wed Mar 23 14:36:38 +0000 2016
712672174113329152,1,1,Wed Mar 23 16:07:41 +0000 2016
712676967019982849,2,0,Wed Mar 23 16:26:44 +0000 2016
712676631572140033,1,0,Wed Mar 23 16:25:24 +0000 2016
712673407213547520,3,0,Wed Mar 23 16:12:35 +0000 2016
712469349269811200,1,0,Wed Mar 23 02:41:44 +0000 2016
712668318495191040,4,0,Wed Mar 23 15:52:22 +0000 2016
712677188638617600,1,4,Wed Mar 23 16:27:37 +0000 2016
712674123189608448,1,2,Wed Mar 23 16:15:26 +0000 2016
712677950395523072,1,0,Wed Mar 23 16:30:38 +0000 2016
712497757777321984,4,0,Wed Mar 23 04:34:37 +0000 2016
712444620836188160,1,0,Wed Mar 23 01:03:28 +0000 2016
712445314041393152,0,0,Wed Mar 23 01:06:14 +0000 2016
712438830154932225,0,0,Wed Mar 23 00:40:28 +0000 2016
712496317851938816,3,1,Wed Mar 23 04:28:54 +0000 2016
712675859061059584,1,0,Wed Mar 23 16:22:20 +0000 2016
712674625411424256,0,1,Wed Mar 23 16:17:26 +0000 2016
